# EUR/USD-Wochenkurse aus den offiziellen EZB-Referenzkursen (Euro foreign
# exchange reference rates, taeglich veroeffentlicht seit 1999). Wird NUR
# gelesen, von keinem Skript geschrieben - ueberlebt damit jeden Lauf von
# scripts/backfill_history.py, der price_history.csv komplett neu aufbaut.
#
# Zweck: Alpha Vantages FX_WEEKLY liefert USD/EUR erst ab 2014-11-21. Fuer
# alles davor bleiben die neun USD-Ticker und BTC-EUR sonst leer (#61) - der
# Backfill rechnet sie bewusst nicht mehr mit einem spaeteren Kurs um. Diese
# Datei schliesst genau diese Luecke, in TAEGLICHER Aufloesung, damit jeder
# Wochenschlusskurs mit dem Kurs SEINES Handelstags umgerechnet wird statt
# mit dem einer benachbarten Woche.
#
# Abdeckung: 2006-01-02 bis 2014-11-14 (2272 Handelstage), also bis einschliesslich
# ISO-KW 46/2014. Ab KW 47/2014 uebernimmt FX_WEEKLY - dort steht bewusst
# kein Eintrag, damit die API-Daten unangetastet bleiben.
#
# Spalten:
#   Date         ISO-Datum des EZB-Handelstags
#   EUR_pro_USD  Wie viele EUR ein USD kostet, also 1/(EUR/USD).
#                Die EZB veroeffentlicht USD je EUR - hier ist der Kehrwert
#                eingetragen, gerundet auf 6 Nachkommastellen.
#
# Quelle: European Central Bank, "Euro foreign exchange reference rates"
#   https://www.ecb.europa.eu/stats/eurofxref/eurofxref-hist.zip
# Erhoben am 2026-08-22 aus der in currencyconverter 0.18.21 (PyPI)
# gebuendelten Kopie dieser Datei, da der Direktabruf hier nicht moeglich war.
# Zur Kontrolle: 2008-07-15 = 1,5990 USD/EUR (historisches Hoch),
# 2011-05-04 = 1,4882, 2014-11-14 = 0.804117 EUR_pro_USD.
#
# Zeilen mit fuehrendem # werden uebersprungen.
Date,EUR_pro_USD
2008-02-19,0.678334
2008-02-20,0.682314
2008-02-21,0.678610
2008-02-22,0.673491
2008-02-25,0.674900
2008-02-26,0.672314
2008-02-27,0.664717
2008-02-28,0.661332
2008-02-29,0.659326
2008-03-03,0.657765
2008-03-04,0.657635
2008-03-05,0.658068
2008-03-06,0.652784
2008-03-07,0.648635
2008-03-10,0.651890
2008-03-11,0.650237
2008-03-12,0.646120
2008-03-13,0.641972
2008-03-14,0.642632
2008-03-17,0.634115
2008-03-18,0.634075
2008-03-19,0.637267
2008-03-20,0.648382
2008-03-25,0.642302
2008-03-26,0.636537
2008-03-27,0.633473
2008-03-28,0.633072
2008-03-31,0.632431
2008-04-01,0.638570
2008-04-02,0.639713
2008-04-03,0.644081
2008-04-04,0.636051
2008-04-07,0.637227
2008-04-08,0.637186
2008-04-09,0.635890
2008-04-10,0.629921
2008-04-11,0.631592
2008-04-14,0.630159
2008-04-15,0.631792
2008-04-16,0.627825
2008-04-17,0.630040
2008-04-18,0.633714
2008-04-21,0.629010
2008-04-22,0.627707
2008-04-23,0.627353
2008-04-24,0.634156
2008-04-25,0.641190
2008-04-28,0.639877
2008-04-29,0.642220
2008-04-30,0.643501
2008-05-02,0.646914
2008-05-05,0.646831
2008-05-06,0.643998
2008-05-07,0.648088
2008-05-08,0.651593
2008-05-09,0.646914
2008-05-12,0.648088
2008-05-13,0.646287
2008-05-14,0.647710
2008-05-15,0.646245
2008-05-16,0.645245
2008-05-19,0.641972
2008-05-20,0.639427
2008-05-21,0.634800
2008-05-22,0.634719
2008-05-23,0.635243
2008-05-26,0.634478
2008-05-27,0.634518
2008-05-28,0.638733
2008-05-29,0.643045
2008-05-30,0.644828
2008-06-02,0.644288
2008-06-03,0.641313
2008-06-04,0.646580
2008-06-05,0.649266
2008-06-06,0.641149
2008-06-09,0.633553
2008-06-10,0.644081
2008-06-11,0.644538
2008-06-12,0.648635
2008-06-13,0.652061
2008-06-16,0.646872
2008-06-17,0.646120
2008-06-18,0.645453
2008-06-19,0.645953
2008-06-20,0.640615
2008-06-23,0.644288
2008-06-24,0.642343
2008-06-25,0.641067
2008-06-26,0.635687
2008-06-27,0.635001
2008-06-30,0.634357
2008-07-01,0.633914
2008-07-02,0.632671
2008-07-03,0.629525
2008-07-04,0.638121
2008-07-07,0.638937
2008-07-08,0.637471
2008-07-09,0.636335
2008-07-10,0.636618
2008-07-11,0.631512
2008-07-14,0.631034
2008-07-15,0.625391
2008-07-16,0.629406
2008-07-17,0.630955
2008-07-18,0.632271
2008-07-21,0.630597
2008-07-22,0.628180
2008-07-23,0.635284
2008-07-24,0.637877
2008-07-25,0.635566
2008-07-28,0.635082
2008-07-29,0.636740
2008-07-30,0.641478
2008-07-31,0.640574
2008-08-01,0.642096
2008-08-04,0.642426
2008-08-05,0.645703
2008-08-06,0.646078
2008-08-07,0.646371
2008-08-08,0.663394
2008-08-11,0.666134
2008-08-12,0.670826
2008-08-13,0.671006
2008-08-14,0.670826
2008-08-15,0.678933
2008-08-18,0.680087
2008-08-19,0.681338
2008-08-20,0.678702
2008-08-21,0.675037
2008-08-22,0.675311
2008-08-25,0.677186
2008-08-26,0.685025
2008-08-27,0.677186
2008-08-28,0.677002
2008-08-29,0.678656
2008-09-01,0.683948
2008-09-02,0.688895
2008-09-03,0.692473
2008-09-04,0.690226
2008-09-05,0.701902
2008-09-08,0.703532
2008-09-09,0.707014
2008-09-10,0.709522
2008-09-11,0.717669
2008-09-12,0.710934
2008-09-15,0.706664
2008-09-16,0.700918
2008-09-17,0.703037
2008-09-18,0.689560
2008-09-19,0.702445
2008-09-22,0.686295
2008-09-23,0.678841
2008-09-24,0.680735
2008-09-25,0.680272
2008-09-26,0.683060
2008-09-29,0.696913
2008-09-30,0.699154
2008-10-01,0.710177
2008-10-02,0.719269
2008-10-03,0.722857
2008-10-06,0.733460
2008-10-07,0.733568
2008-10-08,0.728279
2008-10-09,0.730887
